9000,690,-105,-563,2660,33740,-6300
9100,739,-227,-783,10780,17500,3710
9200,1639,205,-1122,11970,21000,20230
9300,591,-110,-279,8190,-35280,9380
9400,855,42,-402,17010,-20720,5110
9500,730,-93,-326,9590,-25760,19250
9600,556,-172,-317,28280,-7140,19250
9700,939,-59,-343,4830,7770,20300
9800,853,-474,-623,-20090,-3360,-11900
9900,1204,44,-758,-16590,7280,7490
10000,881,-137,-472,-25900,-29190,25760
10100,466,-240,-350,-38570,6370,-6720
10200,645,-49,-390,-42840,-2310,12600
10300,819,-65,-1132,20650,-7140,46060
10400,1350,28,-818,9450,12040,24360
10500,837,-112,-531,11550,-33180,31010
10600,556,107,-332,45990,-3710,10500
10700,896,263,-527,54180,2730,12670
10800,803,-215,-746,770,-2100,-8820
10900,1083,-13,-872,210,-10080,-14000
11000,729,22,-308,-5530,-12040,-4550
11100,611,-213,-326,-30870,-11130,4760
11200,787,-127,-417,-15610,-2730,7910
11300,908,-51,-1032,33670,-6930,50890
11400,1104,45,-538,-3710,6510,14700
11500,804,-52,-442,12110,-11690,5740
11600,654,-150,-312,40250,-22260,5670
11700,621,155,-343,46130,9590,630
11800,838,-516,-635,-18970,-17150,-12880
11900,1228,174,-566,6020,10360,3220
12000,647,23,-331,-5810,-7560,-3570
12100,523,-28,-211,-10640,-26530,3010
12200,712,-156,-194,-23100,35420,19740
12300,1148,3,-683,39060,21560,23450
12400,1011,-209,-293,140,32060,3710
12500,839,-43,-506,12950,-14980,-4340
12600,628,-77,-407,20860,-43120,8890
12700,479,-70,-361,53130,490,-9590
12800,892,89,-323,3780,11270,1890
12900,1488,-544,-937,-25200,-4130,-14140
13000,810,-103,-552,24640,-1330,-5740
13100,688,-312,-546,-70,-27790,29050
13200,711,-115,-485,5810,-12040,3990
13300,1089,-243,-696,3780,-11200,-10990
13400,715,-169,-540,27440,-21630,-5460
13500,694,5,-537,10500,-20510,2800
13600,925,-311,-634,18970,-350,-5390
13700,835,-113,-585,32130,-13020,-12950
13800,685,-126,-552,42420,7770,-23660
13900,766,-75,-625,42980,-11340,-25410
14000,827,-50,-606,60760,-3710,-53760
14100,715,-28,-600,72310,-21700,-47390
14200,793,11,-593,71610,-3850,-50120
14300,795,-19,-557,82880,-13090,-49700
14400,707,-10,-593,100940,6230,-47880
14500,757,-181,-673,86450,-21420,-49140
14600,743,-312,-536,96740,-490,-38850
14700,774,-215,-637,93800,-18760,-42000
14800,735,-131,-590,98700,-7000,-47600
14900,818,-172,-545,87850,-12320,-43120
15000,816,-143,-529,75040,-13370,-38710
15100,730,-166,-521,63770,-22680,-31010
15200,857,-75,-536,38290,-15330,-22470
15300,826,-124,-476,5810,-15050,-10780
15400,839,-320,-761,13370,-10990,8540
15500,693,-40,-556,-4200,-17220,9940
15600,852,-128,-552,7140,7000,-5670
15700,798,-209,-589,13510,-18270,-6020
15800,730,39,-617,-3780,-9240,-9590
15900,952,-112,-588,-1400,-6860,-20300
16000,698,-5,-462,-560,-1330,-19460
16100,867,32,-503,6020,22540,-24150
16200,811,41,-517,5810,-8260,-7770
16300,1019,102,-531,31780,-23310,4130
16400,1245,34,-1244,-42140,-5390,9310
16500,722,-12,-777,7070,-66080,41160
16600,635,-122,-636,26460,31010,46620
16700,470,-185,-484,39410,-15330,36190
16800,441,-186,-414,19390,48160,18410
16900,996,-320,-564,11690,-20160,21280
17000,1406,-782,-944,26530,-20650,21490
17100,509,-112,-537,-40320,-61950,-5180
17200,692,-172,-551,-6370,7490,-33040
17300,324,-25,-396,-11270,-17920,-19600
17400,764,-28,-649,-17780,4620,-19180
17500,670,-54,-550,-29260,-1750,6930
17600,850,217,-645,-24080,-18550,23380
17700,2012,451,-1142,-28210,-52010,22680
17800,426,46,-554,61740,-52570,56140
17900,823,-192,-730,25130,28000,47110
18000,129,-209,-267,50190,15470,23520
18100,877,-317,-588,24010,-1610,19530
18200,1089,-294,-454,4830,-10500,13580
18300,1269,-460,-1259,44100,22120,-5040
18400,833,-582,-779,-31920,-89250,350
18500,468,-105,-404,-7980,17220,-54180
18600,417,43,-500,-28000,-33670,-28980
18700,768,49,-641,-8260,27300,-7560
